frame,delay,model,name,conf
4,0.904248,n5t_f,serena,3882.8133651659546
5,0.922667,n5t_f,serena,3674.50171404098
6,0.923031,n5t_f,adrian,3277.1317371695977
7,0.918744,n5t_f,david,2369.569148352761
8,0.91921,n5t_f,,
9,0.889575,n5t_f,,
10,0.892368,n5t_f,serena,6174.887296626162
11,0.893556,n5t_f,serena,5012.601061107403
12,0.937259,n5t_f,serena,5305.436081555387
13,0.892149,n5t_f,robin,5001.800541064185
14,0.892288,n5t_f,serena,3788.774817826393
15,0.896789,n5t_f,robin,4042.7496697340907
15,0.896789,n5t_f,david,2788.680926902304
16,0.914398,n5t_f,,
17,0.905577,n5t_f,,
18,0.907618,n5t_f,serena,7065.706823075915
19,0.889938,n5t_f,robin,6489.362530463615
20,0.892518,n5t_f,robin,6193.15236493911
21,0.929788,n5t_f,robin,4979.350744650917
22,0.925441,n5t_f,robin,4948.9663745608195
23,0.90236,n5t_f,,
24,0.940493,n5t_f,,
25,0.890548,n5t_f,,
26,0.902826,n5t_f,serena,4600.227356948163
27,0.912839,n5t_f,serena,4744.226699900579
28,0.923154,n5t_f,serena,4614.849787550837
29,0.902642,n5t_f,serena,4556.231676040389
30,0.901602,n5t_f,serena,3265.641127629036
31,0.89196,n5t_f,serena,1327.768612848514
32,0.921178,n5t_f,serena,6379.842481693822
33,0.878195,n5t_f,,
34,0.888017,n5t_f,,
35,0.951931,n5t_f,,
36,0.922424,n5t_f,serena,3266.681691743385
37,0.93467,n5t_f,robin,4596.539633506425
38,0.923163,n5t_f,serena,4264.1042529590195
39,0.903947,n5t_f,serena,3436.547931099763
40,0.903385,n5t_f,adrian,2781.9494050939993
41,0.920399,n5t_f,david,3400.3000835191306
0,1.237227,1t_e,adrian,6636.306506701845
1,1.188883,1t_e,,
2,1.231264,1t_e,,
3,1.027597,1t_e,robin,8283.1019083679
4,0.905275,1t_e,robin,12192.103402221583
5,0.934263,1t_e,robin,12556.643347431616
6,0.951329,1t_e,robin,11728.096263705085
7,0.886692,1t_e,robin,14828.884441544202
8,0.907475,1t_e,,
9,0.874341,1t_e,,
10,0.888697,1t_e,,
11,0.906406,1t_e,,
12,0.919191,1t_e,adrian,6940.997622811046
13,0.929013,1t_e,adrian,8418.874083830191
14,0.895725,1t_e,adrian,8928.050183091937
15,0.890705,1t_e,adrian,9678.968395428845
16,0.907939,1t_e,robin,11314.272121922031
17,0.923842,1t_e,robin,10299.235902149587
18,0.908654,1t_e,adrian,10518.761034797024
19,0.876034,1t_e,,
20,0.905006,1t_e,adrian,8184.680291757384
21,0.937867,1t_e,adrian,8009.322361439632
22,0.903983,1t_e,adrian,5796.932197173334
23,0.922963,1t_e,adrian,8202.037376706012
24,0.907866,1t_e,robin,8407.56126181277
25,0.898074,1t_e,robin,8029.569949137686
26,0.895997,1t_e,,
27,0.909464,1t_e,,
28,0.900602,1t_e,,
29,0.908193,1t_e,serena,10025.768528317038
30,0.893277,1t_e,serena,9904.786104666047
31,0.890254,1t_e,serena,9688.40790326326
32,0.905008,1t_e,serena,10175.355680850751
33,0.904586,1t_e,serena,10787.313528222596
34,0.912665,1t_e,serena,10535.808193314906
35,0.919616,1t_e,,
36,0.912229,1t_e,,
37,0.897903,1t_e,,
38,0.89288,1t_e,adrian,8174.08880466152
39,0.89022,1t_e,adrian,9118.267466264273
40,0.871453,1t_e,adrian,13400.797188860848
41,0.885241,1t_e,serena,12592.197652777892
42,0.906564,1t_e,adrian,12851.445076766147
43,0.918747,1t_e,robin,11389.718344526838
44,0.907755,1t_e,robin,10639.178056285029
45,0.941965,1t_e,robin,12623.581562489777
0,1.038668,2t_e,adrian,7537.758281522054
1,1.24196,2t_e,,
2,1.121739,2t_e,,
3,0.923332,2t_e,robin,5013.431942658063
4,0.921994,2t_e,robin,6576.242424788789
5,0.922324,2t_e,robin,6061.561753828224
6,0.893019,2t_e,robin,4314.937631214494
7,0.956053,2t_e,robin,4853.379260534429
8,0.891577,2t_e,,
9,0.904065,2t_e,,
10,0.936492,2t_e,adrian,5417.279307805832
11,0.906567,2t_e,adrian,4970.2341138233205
12,0.894941,2t_e,adrian,6936.971375906989
13,0.987798,2t_e,adrian,8459.176427672342
14,0.925306,2t_e,adrian,9274.142927368877
15,0.898645,2t_e,robin,8970.856634884061
16,0.918737,2t_e,robin,8443.231949078416
17,0.908883,2t_e,,
18,0.922349,2t_e,adrian,3359.6498003760125
19,1.043953,2t_e,adrian,3796.16415445452
20,0.956294,2t_e,adrian,4076.17988132768
21,0.90288,2t_e,robin,6155.197612735353
22,0.90474,2t_e,robin,4863.8743595962915
23,0.920069,2t_e,,
24,0.936195,2t_e,,
25,0.890017,2t_e,adrian,4388.387268453114
26,0.886466,2t_e,adrian,5373.660448013879
27,0.927846,2t_e,adrian,5252.53617634627
28,0.911268,2t_e,adrian,6972.1596397696585
29,0.911108,2t_e,adrian,8453.29821065339
30,0.928609,2t_e,robin,8651.51864388799
31,0.925042,2t_e,,
32,0.907957,2t_e,,
33,0.88638,2t_e,adrian,3889.829944464532
34,0.893997,2t_e,adrian,4335.972258852912
35,0.897101,2t_e,adrian,6525.78712488433
36,0.892085,2t_e,adrian,5173.290682827205
37,0.881519,2t_e,robin,6558.327087916114
38,0.940172,2t_e,robin,4401.056367853024
39,0.906129,2t_e,robin,6731.078760230101
0,1.15661,5t_e,,
1,1.241797,5t_e,,
2,1.078686,5t_e,,
3,0.946187,5t_e,robin,4992.227058900964
4,0.91284,5t_e,adrian,6523.403694828028
5,0.918879,5t_e,adrian,5923.011231473906
6,0.905795,5t_e,robin,4780.291390309743
7,0.925435,5t_e,robin,3802.2489452150153
8,0.892479,5t_e,adrian,6493.289106184828
9,0.865993,5t_e,,
10,0.926455,5t_e,,
11,0.921403,5t_e,serena,3892.3125719287036
12,0.919464,5t_e,adrian,3958.587161601385
13,0.880584,5t_e,adrian,4949.242541830976
14,0.925396,5t_e,adrian,5246.729813743881
15,0.912193,5t_e,adrian,5613.620271961236
16,0.9098,5t_e,adrian,7212.549155793235
17,0.955318,5t_e,adrian,7220.6937158723385
18,0.9147,5t_e,serena,6643.062461633032
19,0.891901,5t_e,,
20,0.897175,5t_e,,
21,0.89296,5t_e,,
22,0.89937,5t_e,,
23,0.896494,5t_e,adrian,4417.071233615974
24,0.87997,5t_e,adrian,5003.138233432813
25,1.038066,5t_e,adrian,5744.5715186641955
26,0.926401,5t_e,adrian,4118.250404769469
27,0.910219,5t_e,,
28,0.902919,5t_e,,
29,0.967518,5t_e,,
30,0.90685,5t_e,adrian,5423.03254061987
31,0.927873,5t_e,adrian,6507.537593750808
32,0.892966,5t_e,adrian,7037.9490780507485
33,0.890928,5t_e,adrian,6985.587893684373
34,0.88125,5t_e,adrian,7168.219127612852
35,0.877209,5t_e,,
36,0.916401,5t_e,,
37,0.911955,5t_e,adrian,3432.837826118863
38,0.896971,5t_e,adrian,5896.1386674088635
